DATE,FORECAST,ACTUAL
2023-05-04,50844.59039379566,42295.73
2023-05-05,50684.4808971855,43445.31
2023-05-06,47201.052485693835,39564.94
2023-05-07,43114.28711631669,36145.27
2023-05-08,49116.66094316588,49061.62
2023-05-09,50867.46058583677,55510.81
2023-05-10,50741.93383778839,54047.49
2023-05-11,50735.647545621716,56155.13
2023-05-12,50575.53804901171,56774.87
2023-05-13,47092.10963751426,52020.45
2023-05-14,43005.34426814089,46644.34
2023-05-15,49007.718094970754,55222.23
2023-05-16,50758.51773766541,55221.88
2023-05-17,50632.990990515456,56897.43
2023-05-18,50438.74150920041,49369.99
2023-05-19,55746.70664884664,54495.52
2023-05-20,46983.16679300224,50414.44
2023-05-21,42896.40142452371,36995.36
2023-05-22,48898.77525226671,45169.16
2023-05-23,50649.5748958663,48502.46
2023-05-24,50524.04814872266,46350.75
2023-05-25,50517.76185747067,47255.89
2023-05-26,50357.65236177644,47289.07
2023-05-27,46874.22395120287,42088.95
2023-05-28,42787.458582726766,34965.85
2023-05-29,48789.83241047558,41785.99
2023-05-30,50540.63205407364,44387.87
2023-05-31,50415.10530692906,42184.39
